Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-01-29T12:54:53Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-01-29T12:54:53Z
Data Analyst,Fremont,$50 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst/-in-Fremont,CA?jid=b7805bc4ae425006",TEKsystems,2024-01-19T03:07:09Z,,b7805bc4ae425006,2024-01-29T12:54:53Z
REMOTE - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/REMOTE-Data-Analyst/-in-Remote,OR?jid=8630e34d6771d89a",Platinum Resource Group,2024-01-23T08:00:00Z,remote,8630e34d6771d89a,2024-01-29T12:54:53Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-01-29T12:54:53Z
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-01-29T12:54:53Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-01-29T12:54:53Z
Data Analyst,San Francisco,$60 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Data-Analyst/-in-San-Francisco,CA?jid=6b706d3c3fcd5c9f",Laboratory Technician | St. Cloud Shines,2023-09-01T07:00:00Z,remote,6b706d3c3fcd5c9f,2024-01-29T12:54:53Z
JR DATA ANALYST,Costa Mesa,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Skiltrek/Job/JR-DATA-ANALYST/-in-Costa-Mesa,CA?jid=37720fc7ff9779ef",Skiltrek,2023-04-28T07:00:00Z,remote,37720fc7ff9779ef,2024-01-29T12:54:53Z
Data Analyst I-III,Myrtle Point,$15 - $24.70 / hr,Contractor,"https://www.ziprecruiter.com/c/InfoAge-Solutions-(IAS)/Job/Data-Analyst-I-III/-in-Myrtle-Point,OR?jid=647d7c634ccfd35c",InfoAge Solutions (IAS),2024-01-19T00:00:00Z,,647d7c634ccfd35c,2024-01-29T12:54:53Z
Product Data Analyst,Cupertino,$45 - $65 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Product-Data-Analyst/-in-Cupertino,CA?jid=0b4597fe4c48e539",TEKsystems,2024-01-23T01:47:49Z,,0b4597fe4c48e539,2024-01-29T12:54:53Z
Data Analyst,Beaverton,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Genoa-Employment-Solutions-Inc/Job/Data-Analyst/-in-Beaverton,OR?jid=bac461cd631bdf85",Genoa Employment Solutions Inc,2022-11-29T07:27:49Z,remote,bac461cd631bdf85,2024-01-29T12:54:53Z
